A1_Pseudonym_Display Name,A2_First Name,A3_Family Name,A7_School,B1_Title_Display,B2_Full Title,B3_Genre,C1_Circa,C2_Start Date,C4_End Date,D1_Object Type,D2_Technique 1,D3_Technique 2,D4_Material,E1_Metric Unit,E2_Height,E3_Metric Unit,E4_Width,E7_Metric Unit,E8_Diameter,F5_Place,F6_Current Location,F7_Latitude,F8_Longitude,G1_Sources,G2_Source Url,G3_Source Url 2,H1_Credit,I1_Filter View
Raphael ,Raffaello,Sanzio,Florentine,School of Athens,,Allegorical,,1509,1511,Painting,Fresco,,Intonaco,cm,500,cm,770,,,Vatican City,Room of the Segnatura ,41.903651,12.456707,Wikipedia,https://en.wikipedia.org/wiki/The_School_of_Athens,http://www.visual-arts-cork.com/famous-paintings/school-of-athens.htm,Nicole Vaus,Filter
Parmigianino ,Girolamo,Francesco Maria Mazzola,Central-Italian,Vision of St Jerome ,,Religious ,,1526,1527,Painting ,Oil,,Wood,cm,343,cm,149,,,London,The National Gallery,51.508976,-0.12802,Wikipedia,https://en.wikipedia.org/wiki/Vision_of_Saint_Jerome,,Priyanjali Ratwatte,
Michelangelo Buonarroti,,,Florentine,Tomb of Giuliano de' Medici,,Monument,,1524,1534,Sculpture,Carving,,Marble,cm,650,cm,470,,,Florence,"Church of San Lorenzo, New Sacristy",43.775164,11.253808,Wikipedia,https://it.wikipedia.org/wiki/Tomba_di_Giuliano_de%27_Medici_duca_di_Nemours,,Carlo Corsato,
Michelangelo Buonarroti,,,Florentine,Notte/Night,,Allegorical,,1526,1531,Sculpture,Carving,,Marble,cm,155,,150,,,Florence,"Church of San Lorenzo, New Sacristy, Tomb of Giuliano de' Medici",43.775164,11.253808,Wikipedia,https://en.wikipedia.org/wiki/Night_(Michelangelo),https://en.wikipedia.org/wiki/Michelangelo,"Priyanjali Ratwatte, Carlo Corsato",
Raphael ,Raffaello,Sanzio da Urbino,Florentine,Borghese Deposition (Baglioni Altarpiece),Entombment,Religious,,1507,,Painting,Oil,,Wood,cm,184,cm,176,,,Rome,Galleria Borghese,41.914428,12.492098,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/r/raphael/3umbtrip/37entom.html,,Vijayshri Vaghela,
Raphael ,Raffaello,Sanzio da Urbino,Florentine,Triumph of Galatea,,Mythological,,1512,1512,Painting,Fresco,,Intonaco,cm,225,cm,295,,,Rome,Villa Farnesina ,41.8935994,12.4672868,Wikipedia,http://www.wikiart.org/en/raphael/galatea-detail-of-mermen-and-dolphins-1506,,Mathilda Lindborg,
Paolo Veronese,Paolo ,Caliari,Venetian,Conversion of Mary Magdalene,,Religious,c.,1548,1548,Painting,Oil,,Canvas,cm,117.5,cm,163.5,,,London,The National Gallery,51.508976,-0.12802,National Gallery Website,http://www.nationalgallery.org.uk/paintings/paolo-veronese-the-conversion-of-mary-magdalene,,Charlotte Gale,
Benvenuto Cellini,,,Florentine,Perseus with the Head of Medusa,,Mythological,c.,1545,1554,Sculpture,No,,Bronze,cm,320,,,,,Florence,"Piazza della Signoria, Loggia dei Lanzi",43.769399,11.255523,Wikipedia,https://en.wikipedia.org/wiki/Perseus_with_the_Head_of_Medusa,,Charlotte Gale,
Raphael,Raffaello,Sanzio,Florentine,Sistine Madonna,Madonna and Child with the saints Sixtus and Barbara,Religious,,1513,1514,Painting,Oil,,Canvas,cm,270,cm,201,,,Dresden,Gem_ldegalerie Alte Meister,51.0534,13.7347,Wikipedia,http://www.visual-arts-cork.com/famous-paintings/sistine-madonna.htm,,Veerti Mehta,
Michelangelo Buonarroti,,,Florentine,Tomb of Lorenzo de Medici,,Monument,,1524,1531,Sculpture,Carving,,Marble,cm,650,cm,470,,,Florence,"Church of San Lorenzo, New Sacristy",43.775164,11.253808,Wikipedia,https://it.wikipedia.org/wiki/Tomba_di_Lorenzo_de%27_Medici_duca_di_Urbino,,"Veerti Mehta, Carlo Corsato",
Michelangelo Buonarroti,,,Florentine,Aurora/Dawn,,Allegorical,,1524,1531,Sculpture,Carving,,Marble,cm,155,cm,180,,,Florence,"Church of San Lorenzo, New Sacristy, Tomb of Lorenzo de' Medici",43.775164,11.253808,Wikipedia,https://it.wikipedia.org/wiki/Aurora_(Michelangelo),,"Veerti Mehta, Carlo Corsato",
Michelangelo Buonarroti,,,Florentine,Tramonto/Dusk,,Allegorical,,1524,1531,Sculpture,Carving,,Marble,cm,155,cm,170,,,Florence,"Church of San Lorenzo, New Sacristy, Tomb of Lorenzo de' Medici",43.775164,11.253808,Wikipedia,https://it.wikipedia.org/wiki/Crepuscolo_(Michelangelo),,"Lily Lacey-Hastings, Carlo Corsato",
Tintoretto,Jacopo ,Robusti Comin,Venetian,Miracle of the Slave,,Religious,,1548,1548,Painting,Oil,,Canvas,cm ,415,cm,541,,,Venice,Gallerie dell'Accademia,45.431244,12.32815,Wikipedia,https://it.wikipedia.org/wiki/Miracolo_di_san_Marco,,"Lily Lacey-Hastings, Carlo Corsato",
Sebastiano del Piombo ,Sebastiano,Luciani,Venetian,Piet__,,Religious,,1516,1517,Painting,Oil,,Wood,cm,225,cm,260,,,Viterbo,Museo Civico,42.41739,12.111093,Wikipedia,https://translate.googleusercontent.com/translate_c?depth=1&hl=en&prev=search&rurl=translate.google.co.uk&sl=it&u=https://it.wikipedia.org/wiki/Piet%25C3%25A0_(Sebastiano_del_Piombo)&usg=ALkJrhhMYrbRDUTUaZ8RIznQfGrY0EgTlQ,http://www.wga.hu/html_m/s/sebastia/pieta.html,Nicole Vaus,
Baccio Bandinelli,,,Florentine,Piet__,,Religious,,1554,1559,Sculpture,Carving,,Marble,No,,,,,,Florence,Santissima Annunziata,43.776795,11.260914,Web Gallery of Art,http://www.wga.hu/html_m/b/bandinel/pieta.html,,Yuchen Wei,
Bronzino,Agnolo,di Cosimo,Florentine,Portrait of Eleonora of Toledo with her son Giovanni de' Medici,,Portrait,,1544,1545,Painting,Oil,,Wood,cm,115,cm,96,,,Florence,Galleria degli Uffizi,43.767902,11.255295,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/b/bronzino/1/index.html,,Yuchen Wei,
Michelangelo Buonarroti,,,Florentine,Genius of Victory,,Allegorical,,1532,1534,Sculpture,Carving,,Marble,cm,261,,,,,Florence,Palazzo Vecchio,43.769305,11.256186,Wikipedia,https://en.wikipedia.org/wiki/The_Genius_of_Victory,,Kaja Kusnieruk,
Michelangelo Buonarroti Buonarroti,,,Florentine,Giorno/Day,,Allegorical,,1526,1531,Sculpture,Carving,,Marble,cm,160,cm,150,,,Florence,"Church of San Lorenzo, New Sacristy, Tomb of Giuliano de' Medici",43.775164,11.253808,Wikipedia,https://it.wikipedia.org/wiki/Giorno_(Michelangelo),,"Kaja Kusnieruk, Carlo Corsato",
Michelangelo Buonarroti,,,Florentine,Piet__,,Religious,,1499,1499,Sculpture,Carving,,Marble,cm,174,cm,195,,,Rome,"St. Peter's Basilica, Vatican City",41.902358,12.453947,"Web Gallery of Art, Britannica",http://www.wga.hu/index1.html,http://www.britannica.com/biography/Michelangelo,Laura Cassidy,
Pontormo,Jacopo ,Carucci,Central-Italian,Deposition,,Religious,c.,1528,1528,Painting,Oil,,Wood,cm,313,cm,192,,,Florence,"Church of Santa Felicit�, Capponi Chapel",43.767094,11.252479,Web Gallery of Art,http://www.wga.hu/index1.html,,Laura Cassidy,
Parmigianino ,Girolamo Francesco Maria,Mazzola,Central-Italian,Madonna with Long Neck,,Religious,,1534,1540,Painting,Oil,,Wood,cm,216,cm,132,,,Florence,Galleria degli Uffizi,43.767902,11.255295,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/p/parmigia/longneck.html,,Ella Ridley - Jones,
Giulio Romano and Assistants,Giulio,Pippi de' Giannuzzi,Central-Italian,Fall of the Giants,,Mythological,,1532,1534,Painting,Fresco,,Intonaco,No,,,,,,Mantua,Palazzo Te,45.147511,10.786591,Web Gallery of Art,http://www.wga.hu/html_m/g/giulio/1pala_te/giganti/0view1.html,http://accessibile.palazzote.it/index.php/percorso-per-ipovedenti-e-non-vedenti/la-caduta-dei-giganti.html,Ella Ridley - Jones,
Titian,Tiziano,Vecellio,Venetian,Assumption of the Virgin,,Religious,,1516,1518,Painting,Oil,,Wood,cm,690,cm,360,,,Venice,Basilica di Santa Maria Gloriosa dei Frari,45.436941,12.326643,Wikipedia,https://en.wikipedia.org/wiki/Assumption_of_the_Virgin_(Titian),,Liberty John,
Albrecht Dﾙrer,,,German,Christ among the Doctors,,Religious,,1506,,Painting,Oil,,Panel,cm,65,cm,80,,,Madrid,Museo Thyssen-Bornemisza,40.416,3.6949,Wikipedia,No,,Veerti Mehta,
Albrecht Dﾙrer,,,German,Adam and Eve,,Religious,,1507,,Painting,Oil,,Panel,cm,209,cm,81,,,Madrid,Museo del Prado,40.413889,3.6925,Wikipedia,No,,Veerti Mehta,
Lucas Cranach the Elder,,,German,Adam and Eve,,Religious,,1228,,Painting,Oil,,Wood,cm,172,cm,63,,,Florence,Galleria degli Uffizi,43.767902,11.255295,Virtual Uffizi ,https://www.virtualuffizi.com/adam-and-eve.html,,Mathilda Lindborg,
